OrderID,OrderDate,UserID
33,2022-08-27,209499
285,2022-08-29,215698
177,2022-08-29,153079
278,2022-08-31,200389
196,2022-08-31,202556
130,2022-09-01,179645
207,2022-09-02,223848
296,2022-09-03,207865
257,2022-09-04,138956
113,2022-09-05,230869
4,2022-09-05,177003
260,2022-09-08,186153
201,2022-09-10,230666
253,2022-09-12,230666
243,2022-09-14,213648
174,2022-09-15,189596
28,2022-09-15,222492
107,2022-09-15,210243
290,2022-09-16,158023
250,2022-09-17,216267
264,2022-09-19,189513
47,2022-09-20,183898
43,2022-09-21,186153
117,2022-09-21,175943
40,2022-09-22,180930
36,2022-09-24,200145
88,2022-09-27,200610
105,2022-09-28,235243
59,2022-10-01,203376
87,2022-10-02,205988
273,2022-10-02,199556
63,2022-10-03,242444
222,2022-10-04,207410
164,2022-10-05,203376
178,2022-10-05,199845
58,2022-10-07,163587
183,2022-10-07,201942
135,2022-10-10,20801
104,2022-10-10,231281
246,2022-10-10,20801
79,2022-10-12,232363
155,2022-10-14,230481
1,2022-10-14,192984
161,2022-10-15,207863
38,2022-10-16,209499
37,2022-10-17,184344
133,2022-10-17,230658
50,2022-10-18,203376
114,2022-10-20,135507
190,2022-10-21,202652
167,2022-10-22,184432
136,2022-10-22,220814
242,2022-10-25,225850
239,2022-10-25,192505
286,2022-10-25,230481
127,2022-10-26,202556
102,2022-10-27,201024
119,2022-10-28,223848
162,2022-10-28,177683
69,2022-10-29,186942
81,2022-10-30,230658
284,2022-10-30,233064
42,2022-10-31,162835
34,2022-11-04,224334
259,2022-11-05,230142
159,2022-11-05,183711
31,2022-11-07,213565
103,2022-11-07,215333
83,2022-11-08,183277
60,2022-11-11,213345
18,2022-11-11,203263
281,2022-11-12,216594
267,2022-11-12,210257
137,2022-11-16,239085
29,2022-11-17,152729
64,2022-11-20,241486
271,2022-11-20,183907
24,2022-11-21,229880
248,2022-11-23,231443
61,2022-11-23,181291
240,2022-11-23,188350
123,2022-11-24,202652
220,2022-11-25,146536
289,2022-11-28,207865
193,2022-12-01,158023
157,2022-12-02,224232
251,2022-12-03,203263
179,2022-12-03,199914
48,2022-12-04,216267
134,2022-12-06,195864
255,2022-12-07,234396
293,2022-12-08,235243
283,2022-12-08,239085
213,2022-12-09,235790
256,2022-12-09,200647
171,2022-12-11,202884
139,2022-12-12,197061
95,2022-12-13,189332
168,2022-12-13,234642
5,2022-12-15,204639
11,2022-12-15,199914
166,2022-12-16,200610
254,2022-12-22,202811
145,2022-12-23,205498
219,2022-12-23,186153
101,2022-12-24,200145
112,2022-12-25,230621
7,2022-12-25,186942
108,2022-12-25,208670
187,2022-12-26,192774
17,2022-12-28,208093
269,2022-12-28,224334
141,2022-12-31,201153
195,2022-12-31,169416
